,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
16,10000,0.5,0.75,2,250,real_weights,3,0.1,6495.6376953125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
98,5000,0.5,0.5,2,250,real_weights,1,0.5,3038.915771484375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
97,5000,0.5,0.5,2,250,real_weights,1,0.25,3038.915771484375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
17,10000,0.5,0.75,2,250,real_weights,3,0.25,6495.6376953125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
94,5000,0.5,0.75,2,250,real_weights,1,0.5,3737.7265625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
93,5000,0.5,0.75,2,250,real_weights,1,0.25,3737.7265625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
39,10000,0.5,1.0,2,250,real_weights,50,0.25,1369.9832763671875,0.9999999999999998,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
90,5000,0.5,1.0,2,250,real_weights,1,0.5,3444.587646484375,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
88,5000,0.5,1.0,2,250,real_weights,1,0.25,3444.587646484375,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
85,1000,0.5,0.5,2,250,real_weights,50,0.5,219.09324645996094,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
84,1000,0.5,0.5,2,250,real_weights,50,0.25,219.09324645996094,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
83,1000,0.5,0.5,2,250,real_weights,50,0.1,219.09324645996094,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
21,10000,0.5,0.5,2,250,real_weights,3,0.25,2729.763427734375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
81,1000,0.5,0.75,2,250,real_weights,50,0.5,376.63751220703125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
80,1000,0.5,0.75,2,250,real_weights,50,0.25,376.63751220703125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
79,1000,0.5,0.75,2,250,real_weights,50,0.1,376.63751220703125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
22,10000,0.5,0.5,2,250,real_weights,3,0.5,2729.763427734375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
72,1000,0.5,0.5,2,250,real_weights,15,0.5,267.5163879394531,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
